PropertyID,Street,City,Zipcode,SqFootage,NumOfBeds,NumofBaths,ApartmentComplex,Price,Parking,DistanceToRollins,URL,Image
0,1701 Lee Rd,Winter Park,32789,997,2,1,The Lexington,1200,Y,10,https://www.zillow.com/b/the-lexington-at-winter-park-winter-park-fl-5Xhy3M/,pictures/Lexington.jpg
1,351 S Northlake Blvd,Altamonte Springs,32701,608,1,1,Tiffany Oaks,1058,Y,23,https://www.zillow.com/b/tiffany-oaks-altamonte-springs-fl-5Xhy26/,pictures/TiffanyOaks.jpg
2,895 Wymore Rd,Altamonte Springs,32714,800,1,1,The Preserve at Spring Lake,1065,Y,19,https://www.aspensquare.com/apartments/florida/altamonte-springs/the-preserve-at-spring-lake?utm_knock=z&utm_medium=cpc&utm_source=zillow&zgRef=zillow,pictures/ThePreserve.jpeg
3,595 Lotus Landing Blvd,Altamonte Springs,32714,602,1,1,Lotus Landing,981,Y,19,https://www.zillow.com/b/lotus-landing-altamonte-springs-fl-5Xhy35/,pictures/LotusLanding.jpg
4,1743 Semoran North Cir,Winter Park,32792,1112,2,1,Sapphire,1129,Y,12,https://www.zillow.com/b/sapphire-winter-park-apartments-winter-park-fl-5XhxqR/,pictures/Sapphire.jpg
5,599 Calibre Crest Pkwy,Altamonte Springs,32714,601,1,1,The Crest,1020,Y,20,https://www.zillow.com/b/the-crest-at-altamonte-altamonte-springs-fl-5Xhxx3/,pictures/TheCrest.jpg
6,220 S Semoran Blvd,Winter Park,32792,501,1,1,Indigo,1049,Y,10,https://www.zillow.com/homedetails/220-S-Semoran-Blvd-0V99100NZ-Winter-Park-FL-32792/2077089477_zpid/,pictures/Indigo.jpg
7,270 Altamonte Bay Club Cir,Altamonte Springs,32701,827,1,1,Lakeshore ,1141,Y,21,https://www.zillow.com/b/lakeshore-at-altamonte-springs-altamonte-springs-fl-9hb5Yz/,pictures/Lakeshore.jpg
8,569 Little River Loop,Altamonte Springs,32714,650,1,1,Edge at Lake Lotus,1035,Y,19,https://www.zillow.com/b/edge-at-lake-lotus-altamonte-springs-fl-5Xhy2P/,pictures/EdgeAtLakeLotus.jpg
9,285 Uptown Blvd,Altamonte Springs,32701,890,1,1,The Lofts,1338,Y,22,https://www.zillow.com/b/the-lofts-at-uptown-altamonte-altamonte-springs-fl-5Xhy4h/,pictures/TheLofts.jpg
10,2890 Red Lion Sq,Winter Park,32792,800,1,1,Serena Winter Park,1099,Y,9,https://www.zillow.com/b/serena-winter-park-winter-park-fl-5Xhxvr/,pictures/Serena.jpg
